symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,trade_type,exit_reason
GVT&D,2026-05-20,2026-05-20,4452.329728856458,4658.510499023438,378,77936.33112311826,4.630851323312374,INTRADAY,SQUARE_OFF_INTRADAY
AIIL,2026-05-20,2026-05-20,501.0988061218261,506.8343060913086,3362,19282.75089740008,1.1445846406762488,INTRADAY,SQUARE_OFF_INTRADAY
ABCAPITAL,2026-05-20,2026-05-20,354.05899999999997,352.3938060913086,4759,-7924.657811462271,-0.470315373621735,INTRADAY,SQUARE_OFF_INTRADAY
ATGL,2026-05-21,2026-05-21,617.6322922035499,636.6014428710937,2742,52013.411130405024,3.0712692498423,INTRADAY,SQUARE_OFF_INTRADAY
CONCOR,2026-05-21,2026-05-21,506.62121676977415,503.3494684448242,3343,-10937.454650307694,-0.6457977314512564,INTRADAY,SQUARE_OFF_INTRADAY
DIXON,2026-05-22,2026-05-22,11318.855,11698.556,150,56955.15000000014,3.3545884278931126,INTRADAY,SQUARE_OFF_INTRADAY
3MINDIA,2026-05-22,2026-05-22,32132.1490390027,32773.7274375,52,33362.07672185953,1.9966868624894551,INTRADAY,SQUARE_OFF_INTRADAY
MFSL,2026-05-22,2026-05-22,1636.8959999999997,1676.64,1037,41214.528000000384,2.428010087384927,INTRADAY,SQUARE_OFF_INTRADAY
PRESTIGE,2026-05-22,2026-05-22,1410.949314324461,1383.9807639160156,1203,-32443.166141359914,-1.9113762723190078,INTRADAY,SQUARE_OFF_INTRADAY
ICICIAMC,2026-05-25,2026-05-25,3257.133984487922,3324.6035810546873,524,35354.06860098495,2.071440625043018,INTRADAY,SQUARE_OFF_INTRADAY
LICI,2026-05-25,2026-05-25,405.6576690855744,408.2673696899414,4210,10986.839544385037,0.6433258393092205,INTRADAY,SQUARE_OFF_INTRADAY
NAUKRI,2026-05-25,2026-05-25,964.3667922099437,933.7409582519531,1771,-54238.351939601365,-3.175745391212448,INTRADAY,SQUARE_OFF_INTRADAY
JSWENERGY,2026-05-26,2026-05-26,559.6762104489114,572.8995122070312,3050,40331.070362265265,2.3626699708235703,INTRADAY,SQUARE_OFF_INTRADAY
NATIONALUM,2026-05-27,2026-05-27,421.3926107591856,431.088244140625,4060,39364.27152864417,2.3008551013677456,INTRADAY,SQUARE_OFF_INTRADAY
PREMIERENE,2026-05-27,2026-05-27,1027.072,1043.908,1666,28048.77600000002,1.6392229561316065,INTRADAY,SQUARE_OFF_INTRADAY
EXIDEIND,2026-05-26,2026-05-29,346.6306626080926,391.4856622314453,4925,220910.87314501195,12.940286149487768,SWING,STOP_LOSS_HIT
AIAENG,2026-05-26,2026-05-29,3984.8840576334874,4402.694055664063,428,178822.67915708636,10.484872131479312,SWING,STOP_LOSS_HIT
SUZLON,2026-05-27,2026-05-29,55.01454846954345,57.41493878173828,31105,74664.14066082018,4.363191881005272,SWING,STOP_LOSS_HIT
IREDA,2026-05-29,2026-05-29,130.5233782827295,132.10335159301758,13525,21369.13902164612,1.2104906654083483,INTRADAY,SQUARE_OFF_INTRADAY
BHARATFORG,2026-05-29,2026-05-29,1956.3337248622606,1947.3772255859376,902,-8078.7623472433725,-0.4578206244925634,INTRADAY,SQUARE_OFF_INTRADAY
WAAREEENER,2026-05-29,2026-05-29,3151.9589653829926,3132.0580473632813,560,-11144.514091038327,-0.6313825223702794,INTRADAY,SQUARE_OFF_INTRADAY
VMM,2026-05-29,2026-05-29,122.35596785736082,121.52645664978027,14428,-11968.187702972204,-0.6779491201831471,INTRADAY,SQUARE_OFF_INTRADAY
FEDERALBNK,2026-05-29,2026-05-29,291.8788379274282,287.3902846069336,6048,-27146.770482351272,-1.5378138930409913,INTRADAY,SQUARE_OFF_INTRADAY
NMDC,2026-06-01,2026-06-04,89.36729846954344,94.87985969543458,19713,108669.1194459919,6.168432212113725,SWING,STOP_LOSS_HIT
VMM,2026-06-05,2026-06-05,119.34696785736082,118.49254335021972,14852,-12689.912780059678,-0.7159163927501546,INTRADAY,SQUARE_OFF_INTRADAY
JSWINFRA,2026-06-09,2026-06-09,270.99566527621755,281.3857162475586,6536,67909.37314868513,3.83402847449637,INTRADAY,SQUARE_OFF_INTRADAY
BAJAJHFL,2026-06-09,2026-06-09,83.04840306091307,83.85195664978028,21329,17138.994496948573,0.9675725953186899,INTRADAY,SQUARE_OFF_INTRADAY
TIINDIA,2026-06-09,2026-06-09,3080.1391478442756,3097.6007329101562,575,10040.41141288136,0.5669089683205261,INTRADAY,SQUARE_OFF_INTRADAY
SUPREMEIND,2026-06-09,2026-06-09,3515.7291531919136,3468.175968261719,503,-23919.25201988792,-1.3525838555288414,INTRADAY,SQUARE_OFF_INTRADAY
MAHABANK,2026-06-09,2026-06-11,80.25003214263916,83.24318365478516,22072,66064.8401760865,3.729782321863585,SWING,STOP_LOSS_HIT
LICHSGFIN,2026-06-12,2026-06-12,534.548153697793,547.390330078125,3339,42880.02693392828,2.402435831364268,INTRADAY,SQUARE_OFF_INTRADAY
